Title	Year	Rated	Released	Runtime sec	Runtime	Genre	Director	Writer0	Writer1	Writer2	Actors0	Actors1	Actors2	Plot	Language	Country	Awards	Poster	Ratings/0/Source	Ratings/0/Value	Ratings/1/Source	Ratings/1/Value	Ratings/2/Source	Ratings/2/Value	Metascore	imdbRating	imdbVotes	imdbID	Type	DVD	BoxOffice	Production	Website	Response
Oppenheimer	2023	R	21 Jul 2023	10800	180	Biography, Drama, History	Christopher Nolan	Christopher Nolan	Kai Bird	Martin Sherwin	Cillian Murphy	Emily Blunt	Matt Damon	The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.	English, German, Italian	United States, United Kingdom	Won 7 Oscars. 344 wins & 358 nominations total	https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_SX300.jpg	Internet Movie Database	8.3/10	Rotten Tomatoes	93%	Metacritic	88/100	88	8.3	716,104	tt15398776	movie	21 Nov 2023	$329,862,540	N/A	N/A	True
American Fiction	2023	R	22 Dec 2023	7020	117	Comedy, Drama	Cord Jefferson	Cord Jefferson	Percival Everett		Jeffrey Wright	Tracee Ellis Ross	John Ortiz	A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.	English	United States	Won 1 Oscar. 62 wins & 165 nominations total	https://m.media-amazon.com/images/M/MV5BZDlkZmRlYTctNGJmNy00MjVkLThjZDQtMWY5Zjg2NjlhZDZkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg	Internet Movie Database	7.5/10	Rotten Tomatoes	93%			N/A	7.5	77,583	tt23561236	movie	06 Feb 2024	$21,098,470	N/A	N/A	True
Anatomy of a Fall	2023	R	22 Mar 2024	9060	151	Crime, Drama, Thriller	Justine Triet	Justine Triet	Arthur Harari		Sandra Hüller	Swann Arlaud	Milo Machado-Graner	A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.	French, English	France	Won 1 Oscar. 105 wins & 180 nominations total	https://m.media-amazon.com/images/M/MV5BMDBiYmRkNjUtYzc4My00NGFiLWE2NWUtMGU1ZDA1NTQ3ZjQwXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_SX300.jpg	Internet Movie Database	7.7/10	Rotten Tomatoes	96%	Metacritic	89/100	89	7.7	108,18	tt17009710	movie	22 Dec 2023	$5,076,369	N/A	N/A	True
Barbie	2023	PG-13	21 Jul 2023	6840	114	Adventure, Comedy, Fantasy	Greta Gerwig	Greta Gerwig	Noah Baumbach		Margot Robbie	Ryan Gosling	Issa Rae	Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.	English, Spanish	United States, United Kingdom	Won 1 Oscar. 193 wins & 420 nominations total	https://m.media-amazon.com/images/M/MV5BNjU3N2QxNzYtMjk1NC00MTc4LTk1NTQtMmUxNTljM2I0NDA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg	Internet Movie Database	6.8/10	Rotten Tomatoes	88%	Metacritic	80/100	80	6.8	535,851	tt1517268	movie	12 Sep 2023	$636,238,421	N/A	N/A	True
The Holdovers	2023	R	10 Nov 2023	7980	133	Comedy, Drama	Alexander Payne	David Hemingson			Paul Giamatti	Da'Vine Joy Randolph	Dominic Sessa	A cranky history teacher at a prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.	English	United States	Nominated for 5 Oscars. 129 wins & 196 nominations total	https://m.media-amazon.com/images/M/MV5BNDc2MzNkMjMtZDY5NC00NmQ0LWI1NjctZjRhNWIzZjc4MGRiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg	Internet Movie Database	8.0/10	Rotten Tomatoes	97%			N/A	8.0	113,383	tt14849194	movie	28 Nov 2023	$20,229,480	N/A	N/A	True
Killers of the Flower Moon	2023	R	20 Oct 2023	12360	206	Crime, Drama, History	Martin Scorsese	Eric Roth	Martin Scorsese	David Grann	Leonardo DiCaprio	Robert De Niro	Lily Gladstone	When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.	English, Osage, Latin, French	United States	Nominated for 10 Oscars. 125 wins & 400 nominations total	https://m.media-amazon.com/images/M/MV5BMjE4ZTZlNDAtM2Q3YS00YjFhLThjN2UtODg2ZGNlN2E2MWU2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg	Internet Movie Database	7.6/10	Rotten Tomatoes	93%	Metacritic	89/100	89	7.6	237,553	tt5537002	movie	05 Dec 2023	$68,026,901	N/A	N/A	True
Maestro	2023	R	20 Dec 2023	7740	129	Biography, Drama, History	Bradley Cooper	Bradley Cooper	Josh Singer		Carey Mulligan	Bradley Cooper	Matt Bomer	This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein.	English	United States	Nominated for 7 Oscars. 25 wins & 180 nominations total	https://m.media-amazon.com/images/M/MV5BOGI2MzQ1NzQtMmVkOC00ZGI0LWI3YjQtN2FjMzQ1NmRhNzFhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg	Internet Movie Database	6.5/10					N/A	6.5	60,745	tt5535276	movie	N/A	N/A	N/A	N/A	True
Past Lives	2023	PG-13	23 Jun 2023	6300	105	Drama, Romance	Celine Song	Celine Song			Greta Lee	Teo Yoo	John Magaro	Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.	Korean, English, Mandarin, French	United States, South Korea	Nominated for 2 Oscars. 77 wins & 219 nominations total	https://m.media-amazon.com/images/M/MV5BOTkzYmMxNTItZDAxNC00NGM0LWIyODMtMWYzMzRkMjIyMTE1XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg	Internet Movie Database	7.9/10	Rotten Tomatoes	95%	Metacritic	94/100	94	7.9	98,216	tt13238346	movie	22 Aug 2023	$11,331,983	N/A	N/A	True
Poor Things	2023	R	27 Feb 2024	8460	141	Comedy, Drama, Romance	Yorgos Lanthimos	Tony McNamara	Alasdair Gray		Emma Stone	Mark Ruffalo	Willem Dafoe	An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.	English, French, Portuguese	Ireland, United Kingdom, United States, Hungary	Won 4 Oscars. 106 wins & 411 nominations total	https://m.media-amazon.com/images/M/MV5BNGIyYWMzNjktNDE3MC00YWQyLWEyMmEtN2ZmNzZhZDk3NGJlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg	Internet Movie Database	8.0/10					N/A	8.0	222,797	tt14230458	movie	N/A	$34,553,225	N/A	N/A	True
The Zone of Interest	2023	PG-13	20 Feb 2024	6300	105	Drama, History, War	Jonathan Glazer	Jonathan Glazer	Martin Amis		Christian Friedel	Sandra Hüller	Johann Karthaus	Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.	German, Polish, Yiddish	United States, United Kingdom, Poland	Won 2 Oscars. 57 wins & 155 nominations total	https://m.media-amazon.com/images/M/MV5BYzRmOGQwZjktYjM2Ni00M2NmLWFlZDYtZGFhM2RkM2VhZDI1XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_SX300.jpg	Internet Movie Database	7.5/10	Metacritic	98/100			98	7.5	78,22	tt7160372	movie	N/A	$8,576,457	N/A	N/A	True
